journal_id,title,issn,lang,years,database
"18121","Acta dermatovenerologica Croatica: ADC","1330-027X","西文","20080901-","MEDLINE電子期刊"
"18122","Acta diabetologica","0940-5429","西文","20030601-","MEDLINE電子期刊"
"45293","Acta Diabetologica","0940-5429","西文","2003-present","ProQuest 【電子期刊】"
"49508","Acta Diabetologica","0940-5429","西文","1997-present","Springer 【電子期刊】"
"48246","Acta Endoscopica","0240-642X","西文","2014-2018","ProQuest 【電子期刊】"
"48639","Acta Epileptologica","2524-4434","西文","1/1/2019+","ProQuest 【電子期刊】"
"47186","Acta Facultatis Medicae Naissensis","0351-6083","西文","2012-present","ProQuest 【電子期刊】"
"18123","Acta haematologica","0001-5792","西文","19980101-","MEDLINE電子期刊"
"45294","Acta Histochemica","0065-1281","西文","2002-2005","ProQuest 【電子期刊】"
"47683","Acta Informatica Medica","0353-8109","西文","2008-present","ProQuest 【電子期刊】"
"18124","Acta medica Austriaca","0303-8173","西文","20000301-20041201","MEDLINE電子期刊"
"48662","Acta Medica International","2349-0578","西文","1/1/2018-7/1/2019","ProQuest 【電子期刊】"
"45295","Acta Medica Iranica","0044-6025","西文","2010-present","ProQuest 【電子期刊】"
"47245","Acta Medica Martiniana","1335-8421","西文","2011-present","ProQuest 【電子期刊】"
"47176","Acta Medica Saliniana","0350-364X","西文","2009-present","ProQuest 【電子期刊】"
"48663","Acta Medicinae et Sociologica","2062-0284","西文","9/1/2019+","ProQuest 【電子期刊】"
"35935","Acta Nephrologica","1013-1671","西文","20000101-present","Airiti Library 【華藝中文電子期刊】"
"18125","Acta neurochirurgica","0001-6268","西文","20000101-","MEDLINE電子期刊"
"45296","Acta Neurochirurgica","0001-6268","西文","1997-present","ProQuest 【電子期刊】"
"51145","Acta Neurologica Belgica","0300-9009","西文","8/1/2024+","ProQuest 【電子期刊】"
"18126","Acta neurologica Scandinavica","0001-6314","西文","20000101-","MEDLINE電子期刊"
"48664","Acta Neurologica Scandinavica","0001-6314","西文","1/1/2023+","ProQuest 【電子期刊】"
"18127","Acta neurologica Scandinavica. Supplementum","0065-1427","西文","20001201-","MEDLINE電子期刊"
"35936","Acta Neurologica Taiwanica","1019-6099","西文","20030101-","Airiti Library 【華藝中文電子期刊】"
"45297","Acta Neuropathologica","0001-6322","西文","2002-present","ProQuest 【電子期刊】"
"49509","Acta Neuropathologica","0001-6322","西文","1997-present","Springer 【電子期刊】"
"48511","Acta Neuropathologica Communications","2051-5960","西文","2015-present","ProQuest 【電子期刊】"
"48665","Acta Neuropsychiatrica","0924-2708","西文","2/1/2013+","ProQuest 【電子期刊】"
"48666","Acta Obstetricia et Gynecologica Scandinavica","0001-6349","西文","1/1/2022+","ProQuest 【電子期刊】"
"48667","Acta Odontológica Colombiana","2027-7822","西文","1/1/2011+","ProQuest 【電子期刊】"
"47689","Acta Odontologica Turcica","2147-690X","西文","2015-present","ProQuest 【電子期刊】"
"18128","Acta oncologica","0284-186X","西文","19980501-","MEDLINE電子期刊"
"27945","Acta oncologica. Supplementum","1100-1704","西文","19980701-","MEDLINE電子期刊"
"18129","Acta ophthalmologica","1755-375X","西文","20080201-","MEDLINE電子期刊"
"18130","Acta ophthalmologica Scandinavica","1395-3907","西文","20000201-20080101","MEDLINE電子期刊"
"18131","Acta orthopaedica","1745-3674","西文","20050201-","MEDLINE電子期刊"
"18132","Acta orthopaedica Scandinavica","0001-6470","西文","19980801-20041201","MEDLINE電子期刊"
"18133","Acta orthopaedica. Supplementum","1745-3690","西文","20050201-","MEDLINE電子期刊"
"18134","Acta oto-laryngologica","0001-6489","西文","19980101-","MEDLINE電子期刊"
"18135","Acta oto-laryngologica. Supplementum","0365-5237","西文","19980501-","MEDLINE電子期刊"
"35937","Acta Paediatrica Sinica","0001-6578","西文","19971201-19990401","Airiti Library 【華藝中文電子期刊】"
"35938","Acta Paediatrica Taiwanica","1608-8115","西文","20070520-20081020","Airiti Library 【華藝中文電子期刊】"
"18136","Acta paediatrica. Supplement","0803-5326","西文","19981001-20061201","MEDLINE電子期刊"
"45298","Acta Parasitologica","1230-2821","西文","2006-2018","ProQuest 【電子期刊】"
"48472","Acta Pediatrica Espanola","0001-6640","西文","2004-2020","ProQuest 【電子期刊】"
"47924","Acta Pharmaceutica","1330-0075","西文","2007-present","ProQuest 【電子期刊】"
"18137","Acta pharmacologica Sinica","1671-4083","西文","20050101-20151101","MEDLINE電子期刊"
"45299","Acta Pharmacologica Sinica","1671-4083","西文","2005-present","ProQuest 【電子期刊】"
"18138","Acta physiologica","1748-1708","西文","20060101-","MEDLINE電子期刊"
"18139","Acta physiologica Scandinavica","0001-6772","西文","19980101-20051201","MEDLINE電子期刊"
"35940","Acta Protozoologica","0065-1583","西文","20091226-20120226","Airiti Library 【華藝中文電子期刊】"
"6539","Acta Psychiatrica Scandinavica","0001-690X","西文","1997-present","Wiley Online Library(電子期刊)"
"18140","Acta psychiatrica Scandinavica","0001-690X","西文","20000101-","MEDLINE電子期刊"
"47196","Acta Scientiarum. Health Sciences","1679-9291","西文","2015-present","ProQuest 【電子期刊】"
"18141","Acta veterinaria Scandinavica","0044-605X","西文","20010101-","MEDLINE電子期刊"
"45300","Acta Veterinaria Scandinavica","1751-0147","西文","2009-present","ProQuest 【電子期刊】"
"35942","Acta Zoologica Taiwanica","1019-5858","西文","19970401-20041001","Airiti Library 【華藝中文電子期刊】"
"18142","Actas espanolas de psiquiatria","1139-9287","西文","20010101-","MEDLINE電子期刊"
"48512","Activitas Nervosa Superior","1802-9698","西文","2007-2016","ProQuest 【電子期刊】"
"47222","Actualité Médicale","0229-9429","西文","2004-2014","ProQuest 【電子期刊】"
"18143","Acupuncture & electro-therapeutics research","0360-1293","西文","19950301-","MEDLINE電子期刊"
"48668","Acupuncture & Electro-Therapeutics Research","0360-1293","西文","1/1/2002+","ProQuest 【電子期刊】"
"47193","Acupuncture and Natural Medicine = Akupunktúra a Naturálna Medicína","1339-4703","西文","2014-present","ProQuest 【電子期刊】"
"46785","Acupuncture in Medicine","0964-5284","西文","1982-present","ProQuest 【電子期刊】"
"47608","Acute Coronary Syndromes","1369-5312","西文","2011","ProQuest 【電子期刊】"
"48424","Acute Medicine & Surgery","2052-8817","西文","2014-present","ProQuest 【電子期刊】"
"51146","Ad Age","0001-8899","西文","11/15/1999+","ProQuest 【電子期刊】"
"48669","Adaptive Human Behavior and Physiology","2198-7335","西文","3/1/2015+","ProQuest 【電子期刊】"
"37444","Adaptive Medicine","2076-944X","西文","20090831-20230317","Airiti Library 【華藝中文電子期刊】"
"6540","Addiction","0965-2140","西文","1997-present","Wiley Online Library(電子期刊)"
"18144","Addiction","0965-2140","西文","19930101-","MEDLINE電子期刊"
"45301","Addiction","0965-2140","西文","1997-2000","ProQuest 【電子期刊】"
"18145","Addiction biology","1355-6215","西文","20020101-","MEDLINE電子期刊"
"47058","Addiction Biology","1355-6215","西文","1988-2000","ProQuest 【電子期刊】"
"48670","Addiction Inbox [BLOG]","","西文","8/24/2018-2/24/2019","ProQuest 【電子期刊】"
"47059","Addiction Professional","1542-8435","西文","2006-present","ProQuest 【電子期刊】"
"47060","Addiction Science & Clinical Practice","1940-0632","西文","2015-present","ProQuest 【電子期刊】"
"38476","Addictive Behaviors","0306-4603","西文","2007.01-present","ClinicalKey 【電子期刊&電子書】"
"38535","Addictive Behaviors Reports","2352-8532","西文","2015-present","ClinicalKey 【電子期刊&電子書】"
"37547","Addictive Disorders & Their Treatment","1531-5754","西文","2002-2021","OVID 【電子期刊】"
"47061","Adicciones","0214-4840","西文","1999-present","ProQuest 【電子期刊】"
"45302","Administration and Policy in Mental Health (1999-2005)","0894-587X","西文","1999-2005","ProQuest 【電子期刊】"
"45303","Administration and Policy in Mental Health and Mental Health Services Research","0894-587X","西文","2006-present(已延遲1年)","ProQuest 【電子期刊】"
"49510","Administration and Policy in Mental Health and Mental Health Services Research","0894-587X","西文","1997-present","Springer 【電子期刊】"
"47007","Administrative Management","0884-5905","西文","1987-1998","ProQuest 【電子期刊】"
"48067","Administrative Science Quarterly","0001-8392","西文","1987-2001","ProQuest 【電子期刊】"
"18146","Adolescence","0001-8449","西文","19900301-20091201","MEDLINE電子期刊"
"45304","Adolescence","0001-8449","西文","1988-2009","ProQuest 【電子期刊】"
"45305","Adolescent Medicine Clinics","1547-3368","西文","2001-2006","ProQuest 【電子期刊】"
"48513","Adolescent Psychiatry","0065-2008","西文","1998-2008","ProQuest 【電子期刊】"
"18147","Advance data","0147-3956","西文","20080101-20080501","MEDLINE電子期刊"
"37387","Advance Journal of Food Science and Technology","2042-4876","西文","20091201-20181110","Airiti Library 【華藝中文電子期刊】"
"48671","Advanced Biomedical Research","2277-9175","西文","1/1/2014-1/1/2024","ProQuest 【電子期刊】"
"37548","Advanced Emergency Nursing Journal","1931-4485","西文","2006-present","OVID 【電子期刊】"
"48672","Advanced Genetics","2641-6573","西文","6/1/2021+","ProQuest 【電子期刊】"
"48287","Advanced Practice Nursing Quarterly","1080-4293","西文","1998","ProQuest 【電子期刊】"
"37549","Advances in Anatomic Pathology","1072-4109","西文","2001.01-present","OVID 【電子期刊】"
"38477","Advances in Anesthesia","0737-6146","西文","2007-present","ClinicalKey 【電子期刊&電子書】"
"48192","Advances in Animal Biosciences","2040-4700","西文","2010-2020","ProQuest 【電子期刊】"
"36958","Advances in Artificial Intelligence","1687-7470","西文","20141201-20151201","Airiti Library 【華藝中文電子期刊】"
"36959","Advances in Artificial Neural Systems","1687-7594","西文","20141201-","Airiti Library 【華藝中文電子期刊】"
"37391","Advances in Astronomy","1687-7969","西文","20081201-20171201","Airiti Library 【華藝中文電子期刊】"
"48514","Advances in Autism","2056-3868","西文","2015-present(已延遲1年)","ProQuest 【電子期刊】"
"37392","Advances in Bioinformatics","1687-8027","西文","20081201-20171201","Airiti Library 【華藝中文電子期刊】"
"48673","Advances in Biomarker Sciences and Technology","2543-1064","西文","1/1/2024+","ProQuest 【電子期刊】"
"36960","Advances in Biomedical Engineering Research","2328-160X","西文","20130301-20151201","Airiti Library 【華藝中文電子期刊】"
"37356","Advances in Bioscience and Bioengineering","2201-8336","西文","20130601-20151201","Airiti Library 【華藝中文電子期刊】"
"47190","Advances in Biosciences & Clinical Medicine","2203-1413","西文","2013-present","ProQuest 【電子期刊】"
"38590","Advances in Cancer Biology - Metastasis","2667-3940","西文","2021-present","ClinicalKey 【電子期刊&電子書】"
"48461","Advances in Cellular and Molecular Otolaryngology","2001-6220","西文","2013-2017","ProQuest 【電子期刊】"
"38714","Advances in Chronic Kidney Disease","1548-5595","西文","2007-2022","ClinicalKey 【電子期刊&電子書】"
"38537","Advances in Clinical Radiology","2589-8701","西文","2019-present","ClinicalKey 【電子期刊&電子書】"
"38534","Advances in Cosmetic Surgery","2542-4327","西文","2018-present","ClinicalKey 【電子期刊&電子書】"
"47170","Advances in Dual Diagnosis","1757-0972","西文","2008-present","ProQuest 【電子期刊】"
"37385","Advances in Forestry Letters","2326-3547","西文","20121201-20150801","Airiti Library 【華藝中文電子期刊】"
"48674","Advances in Gerontology","2079-0570","西文","1/1/2011+","ProQuest 【電子期刊】"
"48675","Advances in Global Health","2689-9558","西文","7/1/2022+","ProQuest 【電子期刊】"
"48676","Advances in Health Sciences Education","1382-4996","西文","3/1/1997+","ProQuest 【電子期刊】"
"18148","Advances in health sciences education: theory and practice","1382-4996","西文","20010201-","MEDLINE電子期刊"
"36961","Advances in Hematology","1687-9104","西文","20091201-20171201","Airiti Library 【華藝中文電子期刊】"
"48677","Advances in Hematology","1687-9104","西文","1/1/2013+","ProQuest 【電子期刊】"
"38478","Advances in Integrative Medicine","2212-9588","西文","2014.01-present","ClinicalKey 【電子期刊&電子書】"
"38715","Advances in Kidney Disease and Health","2949-8139","西文","2023-present","ClinicalKey 【電子期刊&電子書】"
"51147","Advances in Medical Education and Practice","1179-7258","西文","1/1/2010+","ProQuest 【電子期刊】"
"45306","Advances in Medical Sciences","1896-1126","西文","2008-2013","ProQuest 【電子期刊】"
"48515","Advances in Mental Health and Intellectual Disabilities","2044-1282","西文","2007-present(已延遲1年)","ProQuest 【電子期刊】"
"45307","Advances in Mind - Body Medicine","1532-1843","西文","2012-present","ProQuest 【電子期刊】"
"38533","Advances in Molecular Pathology","2589-4080","西文","2018-present","ClinicalKey 【電子期刊&電子書】"
"37550","Advances in Neonatal Care","1536-0903","西文","2001.10-present","OVID 【電子期刊】"
"37551","Advances in Nursing Science","0161-9268","西文","1995.05-present","OVID 【電子期刊】"
"38812","Advances in Nutrition","2161-8313","西文","2022-present","ClinicalKey 【電子期刊&電子書】"
"38643","Advances in Oncology","2666-853X","西文","2021-present","ClinicalKey 【電子期刊&電子書】"
"38479","Advances in Ophthalmology and Optometry","2452-1760","西文","2016-present","ClinicalKey 【電子期刊&電子書】"
"38591","Advances in Ophthalmology Practice and Research","2667-3762","西文","2021-present","ClinicalKey 【電子期刊&電子書】"
"38592","Advances in Oral and Maxillofacial Surgery","2667-1476","西文","2021-present","ClinicalKey 【電子期刊&電子書】"
"48425","Advances in Orthopaedics","1758-8294","西文","2010-2011","ProQuest 【電子期刊】"
"36962","Advances in Orthopedics","2090-3464","西文","20141201-20171231","Airiti Library 【華藝中文電子期刊】"
"48678","Advances in Orthopedics","2090-3464","西文","1/1/2013+","ProQuest 【電子期刊】"
"51079","Advances in Patient-Reported Outcomes","3050-6964","西文","2025-present","ClinicalKey 【電子期刊&電子書】"
"38480","Advances in Pediatrics","0065-3101","西文","2007-present","ClinicalKey 【電子期刊&電子書】"
"48679","Advances in Pharmacological and Pharmaceutical Sciences","2633-4682","西文","1/1/2013+","ProQuest 【電子期刊】"
"36963","Advances in Pharmacological Sciences","1687-6334","西文","20141201-20161201","Airiti Library 【華藝中文電子期刊】"
"36964","Advances in Preventive Medicine","2090-3499","西文","20141201-20141201","Airiti Library 【華藝中文電子期刊】"
"47755","Advances in Psoriasis and Inflammatory Skin Diseases","2041-2525","西文","2010-2011","ProQuest 【電子期刊】"
"38638","Advances in Psychiatry and Behavioral Health","2667-3827","西文","2021-present","ClinicalKey 【電子期刊&電子書】"
"38506","Advances in Radiation Oncology","2452-1094","西文","2016.01-present","ClinicalKey 【電子期刊&電子書】"
"48680","Advances in Respiratory Medicine","2451-4934","西文","1/1/2010-1/1/2020","ProQuest 【電子期刊】"
"51148","Advances in Respiratory Medicine","2451-4934","西文","1/1/2010-1/1/2020","ProQuest 【電子期刊】"
"48681","Advances in Rheumatology","2523-3106","西文","1/1/2018+","ProQuest 【電子期刊】"
"37552","Advances in Skin & Wound Care","1527-7941","西文","2001.1-present","OVID 【電子期刊】"
"45308","Advances in Skin & Wound Care","1527-7941","西文","1999-2004","ProQuest 【電子期刊】"
"38481","Advances in Surgery","0065-3411","西文","2007-present","ClinicalKey 【電子期刊&電子書】"
"51149","Advances in Traditional Medicine","2662-4052","西文","6/1/2016+","ProQuest 【電子期刊】"
"36965","Advances in Tumor Virology","1179-5654","西文","20111201-20161201","Airiti Library 【華藝中文電子期刊】"
"46932","Advances in Tumor Virology","1179-5654","西文","2009-2017","ProQuest 【電子期刊】"
"36966","Advances in Urology","1687-6369","西文","20080101-20161201","Airiti Library 【華藝中文電子期刊】"
"47609","Advances in Venous Arterial Thrombosis","2045-7588","西文","2011-2012","ProQuest 【電子期刊】"
"36967","Advances in Virology","1687-8639","西文","20090101-20171201","Airiti Library 【華藝中文電子期刊】"
"46933","Advances in Virology","1687-8639","西文","2009-2017","ProQuest 【電子期刊】"
"37553","Adverse Drug Reaction Bulletin","0044-6394","西文","2000.12-present","OVID 【電子期刊】"
"48682","Aesthetic Authority","2767-3928","西文","9/1/2020-12/31/2021","ProQuest 【電子期刊】"
"18149","Aesthetic plastic surgery","0364-216X","西文","20030101-","MEDLINE電子期刊"
"45309","Aesthetic Plastic Surgery","0364-216X","西文","2002-present(已延遲1年)","ProQuest 【電子期刊】"
"49511","Aesthetic Plastic Surgery","0364-216X","西文","1997-present","Springer 【電子期刊】"
"51150","Aesthetic Surgery Journal : Open Forum","2631-4797","西文","3/1/2019+","ProQuest 【電子期刊】"
"37347","African Journal of Agriculture","2375-091X","西文","20130701-20150801","Airiti Library 【華藝中文電子期刊】"
"37345","African Journal of Crop Science","2375-1231","西文","20140101-20160201","Airiti Library 【華藝中文電子期刊】"
"37348","African Journal of Dairy Farming and Milk Production","2375-1258","西文","20160101-20160401","Airiti Library 【華藝中文電子期刊】"
"47141","African Journal of Disability","2223-9170","西文","2012-present","ProQuest 【電子期刊】"
"37349","African Journal of Fisheries Science","2375-0715","西文","20150101-20160201","Airiti Library 【華藝中文電子期刊】"
"48226","African Journal of Laboratory Medicine","2225-2002","西文","2012-present","ProQuest 【電子期刊】"
"45310","African Journal of Paediatric Surgery : AJPS","0189-6725","西文","2008-2018","ProQuest 【電子期刊】"
"36968","African Journal of Pathology and Microbiology","2090-9020","西文","20121201-20161201","Airiti Library 【華藝中文電子期刊】"
"47187","African Journal of Primary Health Care & Family Medicine","2071-2928","西文","2012-present","ProQuest 【電子期刊】"
"18150","African journal of reproductive health","1118-4841","西文","20030401-","MEDLINE電子期刊"
"45311","African Journal of Reproductive Health","1118-4841","西文","2007-present","ProQuest 【電子期刊】"
"48683","African Journal of Urology","1110-5704","西文","12/1/2019+","ProQuest 【電子期刊】"
"6896","African Journal of Urology(免費)","","","2012-2018","南醫單本訂購期刊"
"37353","African Journal of Wood Science and Forestry","2375-0979","西文","20130801-20160301","Airiti Library 【華藝中文電子期刊】"
"48404","African Vision and Eye Health","2413-3183","西文","2005-present","ProQuest 【電子期刊】"
"38482","Ageing Research Reviews","1568-1637","西文","2007-present","ClinicalKey 【電子期刊&電子書】"
"38483","Aggression and Violent Behavior","1359-1789","西文","2007-present","ClinicalKey 【電子期刊&電子書】"
"47121","Aging","0002-0966","西文","1990-1996","ProQuest 【電子期刊】"
"18151","Aging & mental health","1360-7863","西文","20010201-","MEDLINE電子期刊"
"48640","Aging and Cancer","2643-8909","西文","6/1/2021+","ProQuest 【電子期刊】"
"37408","AGING AND HEALTH","2617-8311","西文","20180901-20180901","Airiti Library 【華藝中文電子期刊】"
"38716","Aging and Health Research","2667-0321","西文","2021-present","ClinicalKey 【電子期刊&電子書】"
"18152","Aging cell","1474-9718","西文","20030201-","MEDLINE電子期刊"
"48641","Aging Clinical and Experimental Research","1594-0667","西文","2/1/1997+","ProQuest 【電子期刊】"
"47123","Aging Health","1745-509X","西文","2005-2013","ProQuest 【電子期刊】"
"45313","Aging Male","1368-5538","西文","2003-2007","ProQuest 【電子期刊】"
"49814","Aging Medicine","2475-0360","西文","6/1/2018+","ProQuest 【電子期刊】"
"18153","Aging trends / Department of Health and Human Services, Centers for Disease Control and Prevention, National Center for Health Statistics","1932-1643","西文","20080201-20090201","MEDLINE電子期刊"
"48516","Agora - estudos em teoria psicanalítica","1516-1498","西文","2000-present","ProQuest 【電子期刊】"
"48642","Aǧrı","1300-0012","西文","1/1/2021+","ProQuest 【電子期刊】"
"8699","AHA Coding Clinic for ICD-10-CM","0742-9800","西文","訂購年份:2016-2026放在My Library裡Email: csmhlib@gmail.comPassword: Welcome1","彰濱單本期刊"
"47230","AHA News","0891-6608","西文","2004-2016","ProQuest 【電子期刊】"
"37543","AIDS","0269-9370","西文","1997-present","OVID 【電子期刊】"
"45283","AIDS Alert","0887-0292","西文","2008-2011","ProQuest 【電子期刊】"
"18154","AIDS and behavior","1090-7165","西文","20040301-","MEDLINE電子期刊"
"45287","AIDS and Behavior","1090-7165","西文","1997-present(已延遲1年)","ProQuest 【電子期刊】"
"49506","AIDS and Behavior","1090-7165","西文","1997-present","Springer 【電子期刊】"
"18155","AIDS care","0954-0121","西文","19900101-","MEDLINE電子期刊"
"45284","AIDS Care","0954-0121","西文","1996-2000","ProQuest 【電子期刊】"
"45285","AIDS Education and Prevention","0899-9546","西文","1998-2017","ProQuest 【電子期刊】"
"45286","AIDS Reader, The","1053-0894","西文","2007-2009","ProQuest 【電子期刊】"
"47579","AIDS Research and Therapy","1742-6405","西文","2009-present","ProQuest 【電子期刊】"
"36969","AIDS Research and Treatment","2090-1240","西文","20101201-20151201","Airiti Library 【華藝中文電子期刊】"
"47656","AIDS Research and Treatment","2090-1240","西文","2010-present","ProQuest 【電子期刊】"
"18156","AIDS treatment news","1052-4207","西文","20060101-20070701","MEDLINE電子期刊"
"47154","AIHA Journal","0002-8894","西文","1993-2003","ProQuest 【電子期刊】"
"51151","AIMS Public Health","2327-8994","西文","1/1/2014+","ProQuest 【電子期刊】"
"48643","Ain - Shams Journal of Anesthesiology","1687-7934","西文","12/1/2018+","ProQuest 【電子期刊】"
"37848","Air Medical Journal","1067-991X","西文","2007.01-present","ClinicalKey 【電子期刊&電子書】"
"47103","Air Quality, Atmosphere, & Health","1873-9318","西文","2008-present","ProQuest 【電子期刊】"
"37358","Air, Soil and Water Research","1178-6221","西文","20111201-20161201","Airiti Library 【華藝中文電子期刊】"
"38484","AJIC: American Journal of Infection Control","0196-6553","西文","2007-present","ClinicalKey 【電子期刊&電子書】"
"37544","AJN, American Journal of Nursing","0002-936X","西文","1996-present","OVID 【電子期刊】"
"8700","AJNR:American Journal of Neuroradiology","0195-6108","西文","1980-present訂購年份:2017-2026","彰濱單本期刊"
"38780","AJO International","2950-2535","西文","2024-present","ClinicalKey 【電子期刊&電子書】"
"38656","AJO-DO Clinical Companion","2666-4305","西文","2021-present","ClinicalKey 【電子期刊&電子書】"
"38813","AJOG Global Reports","2666-5778","西文","2021-present","ClinicalKey 【電子期刊&電子書】"
"38717","AJPM Focus","2773-0654","西文","2022-present","ClinicalKey 【電子期刊&電子書】"
"6902","AJR:American Journal of Roentgenology(南醫2023年起停訂)","0361-803X","英文","1965-present","南醫單本訂購期刊"
"18180","AJRI:American journal of reproductive immunology","1046-7408","西文","20020801-","MEDLINE電子期刊"
"48644","Akupunktur & Aurikulomedizin","2192-9319","西文","3/1/2013+","ProQuest 【電子期刊】"
"49789","Akupunktur & Aurikulomedizin","2192-9319","西文","2013-present","Springer 【電子期刊】"
"48405","Al - Basar International Journal of Ophthalmology","1858-6538","西文","2015-2020","ProQuest 【電子期刊】"
"45314","Alabama Nurse","0002-4317","西文","2003-present","ProQuest 【電子期刊】"
"45315","Alberta RN","1481-9988","西文","1998-2009","ProQuest 【電子期刊】"
"38485","Alcohol","0741-8329","西文","2007-present","ClinicalKey 【電子期刊&電子書】"
"45316","Alcohol","0741-8329","西文","2003-present","ProQuest 【電子期刊】"
"18157","Alcohol health and research world","0090-838X","西文","19900301-19981201","MEDLINE電子期刊"
"45317","Alcohol Research","2168-3492","西文","1990-present","ProQuest 【電子期刊】"
"18158","Alcohol research & health: the journal of the National Institute on Alcohol Abuse and Alcoholism","1535-7414","西文","19990301-20111201","MEDLINE電子期刊"
"18159","Alcohol research: current reviews","2168-3492","西文","20120301-","MEDLINE電子期刊"
"18160","Alcoholism, clinical and experimental research","0145-6008","西文","20060101-","MEDLINE電子期刊"
